Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.1526794
32.05,0.1526794
32.1,0.1526794
32.15,0.1526794
32.2,0.1526794
32.25,0.1526794
32.3,0.1526794
32.35,0.1526794
32.4,0.1526794
32.45,0.1526794
32.5,0.1526794
32.55,0.1526794
32.6,0.1526794
32.65,0.1526794
32.7,0.1526794
32.75,0.1526794
32.8,0.1526794
32.85,0.1526794
32.9,0.1526794
32.95,0.1526794
33,0.1526794
33.05,0.1526794
33.1,0.1526794
33.15,0.1526794
33.2,0.1526794
33.25,0.1526794
33.3,0.1526794
33.35,0.1772614
33.4,0.0533862
33.45,-0.257764
33.5,-0.2271874
33.55,-0.3071458
33.6,-0.2419043
33.65,-5.653706E-02
33.7,6.615102E-02
33.75,0.1117727
33.8,7.966567E-02
33.85,0.0664304
33.9,4.041187E-02
33.95,5.268744E-02
34,0.1609642
34.05,0.126162
34.1,7.540103E-02
34.15,4.432768E-02
34.2,5.826398E-02
34.25,0.1268158
34.3,0.2217032
34.35,0.3671147
34.4,0.4030661
34.45,0.3849476
34.5,0.4827566
34.55,0.3401965
34.6,0.3574443
34.65,0.2957642
34.7,0.2634799
34.75,0.1760803
34.8,0.1090154
34.85,0.1612355
34.9,5.048188E-02
34.95,-0.157594
35,-0.2362133
35.05,-0.2487736
35.1,-9.468992E-02
35.15,1.466861E-02
35.2,1.163779E-02
35.25,-0.0716757
35.3,-7.995662E-02
35.35,6.608734E-02
35.4,0.1320788
35.45,-0.0435782
35.5,-9.667384E-02
35.55,-0.1957593
35.6,-0.3662156
35.65,-0.4175833
35.7,-0.3092897
35.75,-0.3985364
35.8,-0.4926607
35.85,-0.3943669
35.9,-0.5314331
35.95,-0.4094501
36,-0.2315078
36.05,-0.2698923
36.1,-0.2117913
36.15,-0.1535975
36.2,1.332828E-02
36.25,-7.539366E-04
36.3,-0.1714285
36.35,-0.1471563
36.4,-9.546006E-02
36.45,0.2445368
36.5,0.3995721
36.55,0.4404159
36.6,0.2927454
36.65,0.2008439
36.7,0.3004216
36.75,0.221003
36.8,6.758328E-02
36.85,-7.46015E-03
36.9,-0.1073616
36.95,-0.1108422
37,-1.397279E-02
37.05,0.0494061
37.1,-6.089004E-02
37.15,-0.2817801
37.2,-0.2822811
37.25,-0.3950026
37.3,-0.2799618
37.35,-0.147929
37.4,-3.165419E-02
37.45,-0.1979668
37.5,-0.2677389
37.55,-0.2603
37.6,-0.2722075
37.65,-0.3623135
37.7,-0.1631509
37.75,-0.2297609
37.8,-0.2096117
37.85,-0.1400938
37.9,-0.1064699
37.95,4.126456E-02
38,2.599105E-02
38.05,-2.514296E-02
38.1,-0.2314791
38.15,-0.4511095
38.2,-0.4689503
38.25,-0.3647202
38.3,-0.3372612
38.35,-0.4743186
38.4,-0.4407493
38.45,-0.4241031
38.5,-0.56683
38.55,-0.4101494
38.6,-0.4313244
38.65,-0.4085447
38.7,-0.2757028
38.75,-0.1951527
38.8,-0.2246288
38.85,-0.345202
38.9,-0.396153
38.95,-0.4995375
39,-0.6267624
39.05,-0.5249248
39.1,-0.3681021
39.15,-0.2816966
39.2,-0.1715811
39.25,-0.1837543
39.3,-0.3284678
39.35,-0.3482482
39.4,-0.2407275
39.45,-0.1972613
39.5,-0.1646186
39.55,-0.1395872
39.6,-0.1958274
39.65,-0.2929552
39.7,-0.2854305
39.75,-0.3302296
39.8,-0.3310955
39.85,-0.4683909
39.9,-0.3663332
39.95,-0.3997751
40,-0.4456542
40.05,-0.4114993
40.1,-0.3454186
40.15,-0.3467916
40.2,-0.3425574
40.25,-0.2768023
40.3,-0.2816969
40.35,-0.3626683
40.4,-0.2746362
