Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Friday, March 13, 2020 5:24:22 PM"
Date Last Modified,"Monday, November 02, 2020 4:48:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 1
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
23,0.00,0.0,,3.0,39.69,6.1,0.6,0.0,7.6
27,0.00,0.0,,3.8,40.65,5.8,0.8,0.0,9.2
35,125.00,"5,411.3",Lower Marker,50.5,43.00,108.2,1.0,0.0,115.1
46,11.43,373.6,,3.3,44.72,6.3,0.6,0.2,7.2
53,11.07,319.5,,3.3,45.56,7.3,0.6,0.2,7.1
62,28.47,697.8,,8.8,46.60,7.8,1.3,0.5,18.2
69,12.78,279.7,,4.0,47.44,8.1,0.5,0.2,8.2
76,10.28,204.1,,3.3,48.24,6.3,0.5,0.2,6.6
86,16.01,282.2,,5.2,49.33,8.9,0.6,0.3,10.2
109,24.97,346.5,,8.7,51.80,10.1,0.9,0.4,16.0
121,14.60,183.0,,5.3,52.93,8.4,0.6,0.3,9.5
133,20.31,230.7,,7.7,54.14,10.6,0.7,0.4,13.4
157,20.21,195.1,,8.3,56.41,11.2,0.8,0.4,13.8
166,15.56,142.3,,6.6,57.24,9.7,0.7,0.3,10.8
174,16.03,139.9,,7.0,58.00,10.6,0.6,0.3,11.3
179,16.00,135.1,,7.1,58.54,13.2,0.5,0.3,11.4
194,24.48,191.7,,11.4,59.88,12.2,0.9,0.5,17.9
211,19.32,138.8,,9.5,61.52,11.6,0.8,0.4,14.4
220,15.54,106.9,,7.9,62.40,15.0,0.5,0.3,11.7
243,32.10,200.0,,17.3,64.53,18.4,0.8,0.7,24.9
257,32.54,192.1,,18.2,65.79,26.4,0.7,0.7,25.6
268,36.99,209.3,,21.3,66.84,27.5,0.7,0.8,29.5
296,85.32,436.6,,52.8,69.48,48.4,1.0,1.9,70.0
308,79.81,393.1,,50.9,70.44,55.3,0.8,1.8,66.4
321,120.56,569.2,,79.4,71.49,63.5,1.1,2.8,102.0
337,88.34,397.3,,60.5,72.74,74.0,0.7,2.1,76.2
346,93.16,408.0,,65.2,73.45,80.9,0.7,2.2,81.3
415,125.22,457.6,,100.5,78.52,97.4,0.9,3.2,116.4
449,210.39,709.9,,173.7,80.45,109.0,1.4,5.3,196.0
473,228.08,730.6,,191.9,81.79,125.4,1.4,5.8,212.7
506,321.90,964.3,,279.2,83.59,151.3,1.7,8.2,302.3
555,422.12,"1,152.9",,395.8,86.06,205.7,1.8,11.3,415.3
563,449.79,"1,210.4",,427.2,86.48,206.8,2.0,12.1,445.9
601,104.42,263.4,,104.9,88.37,151.1,0.6,2.9,107.0
667,94.91,215.6,,94.7,90.30,148.3,0.5,2.6,94.4
684,161.95,358.6,,161.2,90.80,147.6,0.9,4.3,159.7
760,178.39,355.8,,183.9,92.05,149.4,1.0,4.9,179.5
819,124.54,230.5,,133.0,92.85,145.6,0.8,3.5,128.6
878,511.11,882.1,,565.3,93.65,136.6,5.7,14.7,541.7
"1,708",16.77,14.9,,22.7,99.43,37.5,0.5,0.6,20.4
