Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 4
Number of Events,2121
 
Time,Value
32,0.5608521
32.05,0.5608521
32.1,0.5608521
32.15,0.5608521
32.2,0.5608521
32.25,0.5608521
32.3,0.5608521
32.35,0.5608521
32.4,0.5608521
32.45,0.5608521
32.5,0.5608521
32.55,0.5608521
32.6,0.5608521
32.65,0.5608521
32.7,0.5608521
32.75,0.5608521
32.8,0.5608521
32.85,0.5608521
32.9,0.5608521
32.95,0.5608521
33,0.6992108
33.05,0.5785939
33.1,0.2280706
33.15,-0.2016556
33.2,-0.2300336
33.25,-0.3909256
33.3,-4.159917E-02
33.35,0.3645055
33.4,0.1621584
33.45,-0.3519987
33.5,-0.7019323
33.55,-0.5900753
33.6,-0.514899
33.65,-1.008706E-02
33.7,0.2054282
33.75,4.351895E-02
33.8,0.3550067
33.85,0.8264601
33.9,0.9122277
33.95,0.6565771
34,0.3764234
34.05,0.2266765
34.1,0.2362528
34.15,0.2526044
34.2,-5.827826E-02
34.25,-0.318976
34.3,-0.3484713
34.35,9.862815E-02
34.4,0.3028975
34.45,0.1070662
34.5,-0.0563473
34.55,-0.2118099
34.6,1.431942E-02
34.65,0.3136072
34.7,0.5562124
34.75,0.3826663
34.8,0.3746564
34.85,0.3052693
34.9,0.1590874
34.95,0.1862302
35,0.0345932
35.05,3.121432E-03
35.1,0.1459896
35.15,0.2206255
35.2,0.3157242
35.25,0.2551659
35.3,2.490305E-02
35.35,-0.36376
35.4,-0.5332167
35.45,-0.611692
35.5,-0.7265809
35.55,-0.9151377
35.6,-0.9657989
35.65,-0.5695834
35.7,-0.2111285
35.75,0.1083981
35.8,0.2427318
35.85,-1.476452E-02
35.9,-0.2878493
35.95,-0.2435188
36,-6.238158E-02
36.05,-8.589346E-02
36.1,-1.366677E-02
36.15,-0.1758355
36.2,-0.3276602
36.25,-0.1501528
36.3,0.3000941
36.35,0.593813
36.4,0.5702115
36.45,0.2039555
36.5,-4.837944E-02
36.55,-0.1094134
36.6,2.887764E-02
36.65,0.1569367
36.7,0.3285168
36.75,0.4449739
36.8,0.3299273
36.85,0.1758199
36.9,-0.147951
36.95,-0.206663
37,-0.1786358
37.05,-0.2220624
37.1,-0.3050253
37.15,-0.18662
37.2,-0.0682857
37.25,0.1033703
37.3,0.4475421
37.35,0.5368183
37.4,0.3982878
37.45,0.2111251
37.5,0.3661496
37.55,0.1934174
37.6,7.646427E-02
37.65,7.738329E-02
37.7,-4.674243E-02
37.75,-6.484286E-02
37.8,-5.834438E-02
37.85,0.334205
37.9,0.7239718
37.95,0.8396454
38,0.6600948
38.05,0.3748699
38.1,3.965727E-02
38.15,-0.4598107
38.2,-0.2296283
38.25,-0.2534077
38.3,-0.329886
38.35,-0.317173
38.4,-0.2979508
38.45,-0.2540659
38.5,-0.2137118
38.55,0.2107267
38.6,0.2366138
38.65,0.3712405
38.7,0.6704093
38.75,0.8967352
38.8,0.684518
38.85,0.4245765
38.9,0.3269176
38.95,0.210524
39,0.4747145
39.05,0.8205966
39.1,0.6699945
39.15,0.2883365
39.2,4.400219E-02
39.25,3.115646E-02
39.3,0.3294195
39.35,0.5002645
39.4,0.4367066
39.45,0.1489836
39.5,-0.1682431
39.55,-3.096815E-02
39.6,0.2430287
39.65,0.5851989
39.7,0.8473903
39.75,1.343534
39.8,1.485651
39.85,1.560795
39.9,1.269882
39.95,0.7978584
40,0.2789128
40.05,-7.465866E-02
40.1,-8.934198E-02
40.15,-0.2984685
40.2,-0.3437138
40.25,-0.2614206
40.3,8.274491E-03
40.35,0.3137946
40.4,0.5448405
40.45,0.4529055
40.5,6.300414E-02
40.55,-0.1498918
40.6,-0.1650382
40.65,3.165327E-02
