Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.0456543
32.05,0.0456543
32.1,0.0456543
32.15,0.0456543
32.2,0.0456543
32.25,-2.809401E-02
32.3,-7.028875E-02
32.35,-0.1167738
32.4,-0.1104181
32.45,-5.775796E-02
32.5,0.1560592
32.55,0.2474812
32.6,0.1947465
32.65,5.678277E-02
32.7,6.093344E-03
32.75,-1.504418E-02
32.8,4.122768E-02
32.85,6.675968E-02
32.9,5.527984E-03
32.95,-5.250216E-02
33,-7.755497E-02
33.05,-0.1197816
33.1,-0.1186454
33.15,-7.119646E-02
33.2,-9.491578E-02
33.25,-0.1399247
33.3,-0.1116196
33.35,-5.988273E-02
33.4,-7.792892E-02
33.45,-2.744538E-02
33.5,3.183226E-02
33.55,9.249751E-02
33.6,0.1452897
33.65,0.4240863
33.7,0.5105255
33.75,0.4644794
33.8,0.2519889
33.85,-9.261958E-02
33.9,-0.3530014
33.95,-0.3833923
34,-0.2704033
34.05,-0.3064179
34.1,-0.1934006
34.15,-6.853297E-02
34.2,5.186936E-02
34.25,0.1114604
34.3,0.2333127
34.35,0.1783409
34.4,0.3525545
34.45,0.6383076
34.5,0.7322531
34.55,0.5307032
34.6,0.1746342
34.65,-0.1228595
34.7,-0.2505305
34.75,-0.155367
34.8,2.697612E-02
34.85,0.1409841
34.9,0.1319688
34.95,1.940116E-02
35,-0.0159531
35.05,3.443784E-02
35.1,8.051541E-02
35.15,0.327136
35.2,0.4792521
35.25,0.5262817
35.3,0.3419846
35.35,0.1059767
35.4,-5.603076E-02
35.45,-0.1147921
35.5,-0.1066074
35.55,-7.001419E-02
35.6,-3.121623E-02
35.65,1.527337E-02
35.7,4.225431E-02
35.75,0.0442326
35.8,0.1773398
35.85,8.523645E-02
35.9,-0.1099963
35.95,-0.4140292
36,-0.6650954
36.05,-0.6004615
36.1,-0.464034
36.15,-0.2770713
36.2,-1.986169E-02
36.25,6.652062E-02
36.3,0.1706129
36.35,0.2148793
36.4,0.3138911
36.45,0.3619298
36.5,0.3017644
36.55,0.299535
36.6,0.3257453
36.65,0.4067656
36.7,0.4464763
36.75,0.4412135
36.8,0.4284586
36.85,0.4126793
36.9,0.3667269
36.95,0.3091829
37,0.1678257
37.05,0.1667399
37.1,0.1380801
37.15,0.1949956
37.2,0.1764996
37.25,0.1513706
37.3,0.1258416
37.35,8.363064E-02
37.4,0.1338478
37.45,0.1700639
37.5,0.3215915
37.55,0.4151157
37.6,0.3684184
37.65,0.2158821
37.7,-9.53249E-03
37.75,-0.2922813
37.8,-0.277625
37.85,-0.1572383
37.9,0.1560464
37.95,0.2792509
38,0.2862498
38.05,0.2712041
38.1,0.2203581
38.15,0.2363339
38.2,0.3741113
38.25,0.4781893
38.3,0.5015563
38.35,0.4311815
38.4,0.2376388
38.45,0.1401823
38.5,5.790368E-02
38.55,9.125195E-02
38.6,4.808554E-02
38.65,0.1330129
38.7,0.2122195
38.75,0.2030989
38.8,0.2358938
38.85,0.3740553
38.9,0.4194787
38.95,0.4539287
39,0.4763861
39.05,0.446559
39.1,0.3006961
39.15,0.1804517
39.2,0.1547433
39.25,0.2029949
39.3,0.3559439
39.35,0.5021697
39.4,0.5676886
39.45,0.4715898
39.5,0.408118
39.55,0.2978358
39.6,0.2782759
39.65,0.2371565
39.7,0.2723688
39.75,0.2477729
39.8,0.2534122
39.85,0.2463988
39.9,0.252518
39.95,0.3152709
40,0.3658035
40.05,0.3757198
40.1,0.3396668
40.15,0.4264843
40.2,0.4074815
40.25,0.4042588
40.3,0.4380001
40.35,0.5758404
40.4,0.5707687
40.45,0.6348351
40.5,0.7003211
40.55,0.6827999
