Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 6
Number of Events,2121
 
Time,Value
32,-6.086731E-02
32.05,-6.086731E-02
32.1,-6.086731E-02
32.15,-6.086731E-02
32.2,-6.086731E-02
32.25,-6.086731E-02
32.3,-6.086731E-02
32.35,-6.086731E-02
32.4,-6.086731E-02
32.45,-6.086731E-02
32.5,-6.086731E-02
32.55,-6.086731E-02
32.6,-6.086731E-02
32.65,-2.365268E-02
32.7,0.258112
32.75,0.4920844
32.8,0.4961447
32.85,0.3720926
32.9,0.1832714
32.95,-0.1073841
33,-0.2849575
33.05,-0.3446634
33.1,-0.279478
33.15,-0.2207393
33.2,-0.1640621
33.25,-9.212056E-02
33.3,-5.035055E-02
33.35,-7.032796E-02
33.4,-0.1209219
33.45,-0.1483285
33.5,-9.817703E-02
33.55,0.0274971
33.6,0.1197113
33.65,0.1335347
33.7,0.0480664
33.75,-8.272682E-02
33.8,-0.2365551
33.85,-0.3527901
33.9,-0.37197
33.95,-0.3446646
34,-0.2565712
34.05,-0.1928919
34.1,-0.1392988
34.15,-8.582259E-02
34.2,-0.1042237
34.25,-0.1312042
34.3,-0.1699865
34.35,-0.1845904
34.4,-0.1260566
34.45,-7.648339E-02
34.5,-1.079964E-02
34.55,0.1249001
34.6,0.1482273
34.65,0.2165754
34.7,0.2119755
34.75,0.216702
34.8,9.254131E-02
34.85,-8.577842E-02
34.9,-0.1744775
34.95,-0.124185
35,-2.969474E-02
35.05,3.783062E-02
35.1,2.470786E-02
35.15,-5.470659E-02
35.2,-0.1490923
35.25,-0.2170348
35.3,-0.1989562
35.35,6.694274E-02
35.4,0.2702648
35.45,0.3410841
35.5,0.4130512
35.55,0.4396265
35.6,0.3776426
35.65,0.2502999
35.7,0.1224331
35.75,0.0576518
35.8,-4.671749E-02
35.85,-9.101164E-02
35.9,4.606931E-02
35.95,0.1963451
36,0.277879
36.05,0.304635
36.1,0.2831379
36.15,0.1949141
36.2,9.306824E-02
36.25,0.018496
36.3,-5.402457E-02
36.35,-0.1395299
36.4,-0.1998678
36.45,-0.1915218
36.5,-0.1404351
36.55,-0.1209035
36.6,-0.1590227
36.65,-0.2264692
36.7,-0.3291239
36.75,4.046196E-02
36.8,6.980742E-02
36.85,0.1242208
36.9,6.741547E-02
36.95,-0.1908478
37,-0.5254084
37.05,-0.7243021
37.1,-0.743463
37.15,-0.5943484
37.2,-0.5490574
37.25,-0.4084453
37.3,-0.3449558
37.35,-0.3170711
37.4,-0.2231431
37.45,-0.1807356
37.5,-0.1827447
37.55,-0.2272981
37.6,-0.2968979
37.65,-0.4075114
37.7,-0.4626092
37.75,-0.4485282
37.8,-0.3469267
37.85,-0.2100365
37.9,-0.1457761
37.95,-6.194526E-02
38,6.173174E-02
38.05,7.672375E-02
38.1,1.966595E-02
38.15,-3.507109E-02
38.2,-8.926906E-02
38.25,-8.779258E-02
38.3,-9.932119E-02
38.35,2.315027E-02
38.4,0.1310385
38.45,5.183546E-02
38.5,-4.191148E-02
38.55,-7.424919E-02
38.6,-0.1166197
38.65,-3.783717E-02
38.7,-5.539008E-03
38.75,9.900808E-02
38.8,9.326159E-02
38.85,8.958086E-02
38.9,2.016547E-02
38.95,-4.219999E-02
39,-7.817892E-02
39.05,-4.164128E-02
39.1,-0.1488506
39.15,-0.2058453
39.2,-0.2312183
39.25,-0.2855036
39.3,-0.2803648
39.35,-0.237434
39.4,-0.1544743
39.45,-0.1091824
39.5,-0.1613476
39.55,-0.1556845
39.6,-0.1155194
39.65,-0.0767499
39.7,-4.215405E-02
39.75,-5.957095E-02
39.8,-0.059899
39.85,-2.955189E-02
39.9,-2.659346E-02
39.95,-1.877769E-03
